"","village","hh","ind","census_id","description_english"
"1",1,1599,5792,534052,"Anji"
"2",2,259,920,534046,"Kamthi Khanapur"
"3",3,3,6,534049,"Sewa"
"4",4,229,744,534045,"Chaka Majara"
"5",5,284,1071,534051,"Pavnur"
"6",6,570,1990,534054,"Mandawa"
"7",7,237,779,534055,"Pulai"
"8",8,150,524,534056,"Peth"
"9",9,193,700,534057,"Borgaon (Sawali)"
"10",10,133,462,534060,"Borgaon (Nandora)"
"11",11,114,366,534059,"Dhulawa"
"12",12,107,384,534053,"Narsula"
"13",13,42,140,534058,"Dorali"
"14",15,152,552,534073,"Ganeshpur"
"15",16,106,398,534074,"Pandharkawada"
"16",17,454,1614,534075,"Karala"
"17",18,481,1849,534077,"Mahakal"
"18",19,461,1758,534084,"Satoda"
"19",24,419,1497,534193,"Warud"
"20",25,1972,7292,534079,"Pavnar"
"21",27,380,1401,534105,"Kharangana (Gode)"
"22",28,1244,4598,534101,"Sewagram"
"23",29,152,577,534104,"Kutaki"
"24",30,698,2666,534100,"Barbadi"
"25",31,51,192,534098,"Chinchala"
"26",32,373,1187,NA,"Adarshnagar"
"27",33,88,331,NA,"Ambanagar"
"28",34,285,1115,534099,"Chitoda"
"29",35,363,1381,534103,"Karanji (Bhoge)"
"30",37,171,837,534108,"Nagapur"
"31",38,360,1424,534113,"Dhanora"
"32",39,219,877,534110,"Mandavgad"
"33",40,192,758,534109,"Nandora"
"34",42,63,222,534107,"Sondalapur"
"35",43,615,2291,534118,"Madani"
"36",44,156,597,534132,"Yerangaon"
"37",45,323,1154,534106,"Karangi kaji"
"38",46,44,155,534044,"Pavani"
"39",47,309,1176,534120,"Pujai"
"40",48,868,3314,534130,"Taroda"
"41",49,285,1070,534131,"Sawali"
"42",50,21,92,534129,"Sakhara"
"43",51,227,776,534125,"Yesamba"
"44",52,451,1687,534135,"Gogi"
"45",53,296,1202,534122,"Bhankheda"
"46",54,1195,4403,534165,"Talegaon (Ta)"
"47",55,172,633,534112,"Jaulgaon"
"48",56,311,1114,534124,"Aasta"
"49",57,436,1622,534111,"Bhugaon"
"50",58,329,1267,534164,"Dhotra (Ka)"
"51",59,47,183,534136,"Raifully"
"52",60,430,1507,534163,"Sonegaon"
"53",61,296,1173,534168,"Ekurli"
"54",62,539,1990,534138,"Selukate"
"55",63,345,1317,534097,"Kurzadi"
"56",64,386,1387,534137,"Inzapur"
"57",65,123,425,534094,"Jamatha"
"58",66,2296,7934,534091,"Salod (Hi)"
"59",67,322,1086,534188,"Selsura"
"60",68,531,1950,534181,"Padegaon"
"61",69,248,850,534178,"Dhotra (R)"
"62",70,333,1264,534148,"Wadadha"
"63",71,484,1655,534093,"Paloti"
"64",72,101,399,534146,"Aajgaon"
"65",73,366,1391,534149,"Sirasgaon"
"66",74,2054,7555,534144,"Waigaon (N)"
"67",75,222,787,534157,"Neri"
"68",76,182,698,534159,"Meerapur"
"69",77,186,763,534155,"Bhiwapur"
"70",78,890,3486,534172,"Waifad"
"71",79,254,1058,534170,"Kurzadi"
"72",80,291,1057,534065,"Lonsawali"
"73",81,68,233,534066,"Dorali"
"74",82,341,1260,534173,"Dahegaon (St)"
"75",83,227,809,534174,"Kelapur"
"76",84,205,766,534171,"Bodad"
"77",85,243,828,534182,"Chikani"
"78",86,150,602,534175,"Nimgaon"
"79",87,364,1314,534071,"Dahegaon (Mi)"
"80",88,114,412,534177,"Amboda"
"81",89,211,779,534069,"Aamala"
"82",90,211,757,534067,"Dhamangaon"
"83",91,83,311,534068,"Watoda"
"84",92,345,1323,534062,"Zadgaon"
"85",93,115,409,534061,"Digras"
"86",94,278,1044,534072,"Tigaon"
"87",95,199,820,534063,"Belgaon"
"88",97,1,2,534086,"Umari (Meghe)"
"89",98,320,1261,534179,"Rotha"
"90",99,257,920,534180,"Nagthana"
"91",100,1053,3565,NA,"Sindhi (Meghe)"
"92",103,305,990,534291,"Kajalsara"
"93",104,263,857,534273,"Kharda"
"94",105,388,1360,534260,"Wabgaon"
"95",106,112,366,534304,"Bopapur"
"96",107,238,857,534293,"Babhulgaon"
"97",108,48,157,534263,"Ganeshpur"
"98",109,57,209,534261,"Saidapur"
"99",110,125,377,534265,"Husnapur"
"100",111,846,2928,534259,"Bhidi"
"101",112,223,852,534292,"Ratnapur"
"102",113,174,488,534266,"Kolhapur (Rao)"
